,depth,date,location_code,sample_id_x,elapsed_days,field_season,green_algae,cyanobacteria,brown/mixed_algae,cryptophytes,yellow_substances,total_chlorophyll,sample_id_y,location_name,ctd_conductivity_mscm,ctd_temp_c
0,"(0, 1]",2004-12-02,FRX,FRX0405L2,3 days,2004-05,0.065,0.14500000000000002,0.295,0.115,0.145,0.6174999999999999,FRX0405L2,Lake Fryxell,0.6138,0.022
1,"(0, 1]",2004-12-07,HOR,HOR0405L2,8 days,2004-05,3.305,0.0,1.2149999999999999,0.0,0.055,4.525,HOR0405L2,Lake Hoare,0.04296,0.003
2,"(0, 1]",2004-12-29,FRX,FRX0405L3,30 days,2004-05,0.09000000000000001,0.09499999999999999,0.04666666666666666,0.035,0.04,0.26666666666666666,FRX0405L3,Lake Fryxell,0.012266666666666667,0.06733333333333334
3,"(0, 1]",2004-12-30,HOR,HOR0405L3,31 days,2004-05,0.14500000000000002,0.41,0.04,0.0,0.11499999999999999,0.595,HOR0405L3,Lake Hoare,0.01166,0.0218
4,"(0, 1]",2006-11-11,FRX,FRX0607L1,712 days,2006-07,0.155,0.0,1.255,0.605,0.07250000000000001,2.0149999999999997,FRX0607L1,Lake Fryxell,0.39555,0.032
5,"(0, 1]",2006-11-17,HOR,HOR0607L1,718 days,2006-07,0.974,0.032,0.518,0.26799999999999996,0.13,1.7920000000000003,HOR0607L1,Lake Hoare,0.10804,0.0042
6,"(0, 1]",2006-12-15,HOR,HOR0607L2,746 days,2006-07,0.051666666666666666,0.015,0.0,0.021666666666666667,0.021666666666666667,0.08666666666666667,HOR0607L2,Lake Hoare,0.024820000000000002,0.14479999999999998
7,"(0, 1]",2007-11-17,HOR,HOR0708L1,1083 days,2007-08,0.17,0.0,0.57,0.0,0.19,0.74,HOR0708L1,Lake Hoare,0.0982,0.039
8,"(0, 1]",2007-12-28,FRX,FRX070808L3,1124 days,2007-08,1.2175,0.0,0.05500000000000001,0.13,0.0075,1.4024999999999999,FRX0708L3,Lake Fryxell,0.024999999999999998,0.025142857142857144
9,"(0, 1]",2008-01-03,HOR,HOR0708L6,1130 days,2007-08,2.525714285714286,0.0,0.49000000000000005,0.0,0.004285714285714286,3.0142857142857147,HOR0708L3,Lake Hoare,0.0009166666666666666,0.03183333333333333
10,"(0, 1]",2008-01-20,FRX,FRX070808L4,1147 days,2007-08,0.03666666666666667,0.06,0.0,0.16666666666666666,0.013333333333333334,0.26333333333333336,FRX0708L4,Lake Fryxell,0.020233333333333336,0.06933333333333333
11,"(0, 1]",2008-01-24,HOR,HOR0708L4,1151 days,2007-08,0.6275,0.0075,0.1225,0.02,0.06,0.78,HOR0708L4,Lake Hoare,0.0047,0.04566666666666667
12,"(0, 1]",2008-03-15,FRX,FRX070808L8,1202 days,2007-08,1.6400000000000001,0.058333333333333334,0.43466666666666665,0.5966666666666666,0.014666666666666666,2.73,FRX0708L8,Lake Fryxell,0.198325,-0.00275
