,dataset_code,limno_run,location_name,location_code,date_time,depth_m,nh4_um,no2_um,no3_um,srp_um
0,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,4.0,2.2,0.13,7.2,0.34
1,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,6.0,1.6,0.11,7.2,0.47
2,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,8.0,0.6,0.12,9.8,0.36
3,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,10.0,0.5,0.13,11.9,0.28
4,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,12.0,1.8,0.18,16.6,0.58
5,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,13.0,3.0,0.24,25.9,0.83
6,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,15.0,0.7,0.12,9.8,0.48
7,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,18.0,28.6,1.32,61.4,2.05
8,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,20.0,60.9,4.58,89.0,2.12
9,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,22.0,174.5,9.49,124.5,2.53
10,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,25.0,215.1,25.5,139.7,2.48
11,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,30.0,261.4,45.39,171.1,2.3
12,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,35.0,215.6,40.81,172.8,2.35
13,LIMNO_NUTRIENTS,EB9394L1,East Lake Bonney,BONE30,1993-10-27,39.0,192.8,38.4,163.7,2.88
14,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,4.0,1.4,0.13,5.6,0.32
15,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,6.0,1.0,0.1,5.5,0.32
16,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,8.0,1.4,0.1,6.7,0.38
17,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,10.0,1.5,0.1,6.9,0.26
18,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,12.0,0.8,0.12,9.3,0.49
19,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,13.0,1.5,0.13,14.8,0.61
20,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,14.0,75.2,0.33,22.9,1.45
21,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,15.0,15.6,0.21,16.2,0.66
22,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,17.0,162.3,0.68,19.5,2.28
23,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,20.0,148.9,0.52,14.0,2.35
24,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,22.0,190.9,0.48,9.4,2.52
25,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,25.0,222.7,0.13,1.3,2.56
26,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,30.0,254.0,0.05,0.1,2.49
27,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,35.0,280.1,0.13,0.0,2.57
28,LIMNO_NUTRIENTS,WB9394L1,West Lake Bonney,BONW20,1993-10-29,38.0,305.7,0.13,0.0,3.2
